time,target_left,curr_left,target_right,curr_right
19.303993940353394,0.0,-0.012011972442269326,0.0,-0.008315827440204057
32.05327033996582,0.0499114990234375,-1.182730505688534e-130,0.0499114990234375,-8.187983148347129e-131
32.103286266326904,0.09992742538452148,0.023759943991899492,0.09992742538452148,0.007919981330633164
32.15353202819824,0.15017318725585938,0.12801445224881172,0.15017318725585938,0.06395557555556297
32.203272342681885,0.19991350173950195,0.19896033258223533,0.19991350173950195,0.10894922898340226
32.25327444076538,0.24991559982299805,0.23378735071772577,0.24991559982299805,0.1556454503040123
32.30331373214722,0.299954891204834,0.24028694970496026,0.299954891204834,0.16826194656493454
32.35331058502197,0.34995174407958984,0.2849808538169355,0.34995174407958984,0.18549712692342274
32.40329027175903,0.3999314308166504,0.3378165604189881,0.3999314308166504,0.21884261677733208
32.45332169532776,0.449962854385376,0.35652749925312455,0.449962854385376,0.28022635022427256
32.503631591796875,0.5002727508544922,0.39446127363249206,0.5002727508544922,0.35085369839534386
32.553682804107666,0.5503239631652832,0.4629392467817881,0.5503239631652832,0.4927239237423866
32.60365414619446,0.6002953052520752,0.49020659242443626,0.6002953052520752,0.5538207799743221
32.65336298942566,0.6500041484832764,0.5207559704102482,0.6500041484832764,0.5752577964264372
32.70325565338135,0.6998968124389648,0.6143057106825272,0.6998968124389648,0.5791904574732398
32.75330710411072,0.749948263168335,0.6633896526894294,0.749948263168335,0.5725230996406228
32.80332159996033,0.7999627590179443,0.6950112163019653,0.7999627590179443,0.5894354376052433
32.854044675827026,0.8506858348846436,0.7734278507493312,0.8506858348846436,0.740190693225125
32.90329098701477,0.8999321460723877,0.817888088254775,0.8999321460723877,0.8231331784077858
32.95329999923706,0.9499411582946777,0.8920815207583828,0.9499411582946777,0.8692990283446923
33.00319743156433,0.9998385906219482,0.9652080968909457,0.9998385906219482,0.8876704703867357
33.05398726463318,1.050628423690796,0.9652080968909457,1.050628423690796,0.8876704703867357
33.10325574874878,1.0998969078063965,0.9702025441022448,1.0998969078063965,0.9785735659311763
33.153202295303345,1.149843454360962,1.0013284464249037,1.149843454360962,1.0140526337329345
33.203230142593384,1.199871301651001,1.0321536032999403,1.199871301651001,1.0595073000039028
33.253498554229736,1.2501397132873535,1.159182030958661,1.2501397132873535,1.1056905957675176
33.303314447402954,1.2999556064605713,1.2156396528492195,1.2999556064605713,1.1576540555697512
33.35325336456299,1.3498945236206055,1.2163152827827655,1.3498945236206055,1.2249281386739648
33.40320420265198,1.3998453617095947,1.2653135967496105,1.3998453617095947,1.2434662478044023
33.45330357551575,1.4499447345733643,1.3014749281016493,1.4499447345733643,1.2911906730010885
33.50325059890747,1.499891757965088,1.3643767345706643,1.499891757965088,1.319873195690806
33.553492307662964,1.550133466720581,1.3934595599923143,1.550133466720581,1.385754230667196
33.60367226600647,1.600313425064087,1.4321112685854533,1.600313425064087,1.4441213141855154
33.65337800979614,1.6500191688537598,1.4354658956571327,1.6500191688537598,1.4514715170017443
